date,exchange_rate
2009-01-02,0
2009-01-05,0
2022-02-17,40565.69
2022-02-20,38382.32
2022-03-04,39141.25
2022-03-07,38032.5
2022-03-10,39437.89
2022-03-13,37820.39
2022-03-22,42372.67
2022-03-25,44334.33
2022-03-29,47115.93
